db,series_code,name_j,name_en,unit_j,unit_en,frequency,category_j,category_en,layer1,layer2,layer3,layer4,layer5,start_of_time_series,end_of_time_series,last_update
FM06,SMTPIB,利付国債,Interest-bearing Government Bonds,億円,100 million yen,MONTHLY,公社債消化状況 (利付国債),Trading of Interest-bearing Government Bonds by Purchaser(Interest-bearing Government Bonds),1,1,0,0,0,197901,202601,20260209
FM06,SMTPIB1,(更新停止）シンジケート団引受分担額/小計（ａ）(2006年3月まで）,(Discontinued)Syndicate Underwriting/Subtotal(a) (through March 2006),億円,100 million yen,MONTHLY,公社債消化状況 (利付国債),Trading of Interest-bearing Government Bonds by Purchaser(Interest-bearing Government Bonds),1,2,0,0,0,197901,200603,20171229
FM06,SMTPIB111,(更新停止）シンジケート団引受分担額/国内銀行(2006年3月まで）,(Discontinued)Syndicate Underwriting/Domestically Licensed Banks (through March 2006),億円,100 million yen,MONTHLY,公社債消化状況 (利付国債),Trading of Interest-bearing Government Bonds by Purchaser(Interest-bearing Government Bonds),1,3,0,0,0,198104,200603,20171229
FM06,SMTPIB112,(更新停止）シンジケート団引受分担額/国内銀行/うち都市銀行(2006年3月まで）,(Discontinued)Syndicate Underwriting/Domestically Licensed Banks/City Banks (through March 2006),億円,100 million yen,MONTHLY,公社債消化状況 (利付国債),Trading of Interest-bearing Government Bonds by Purchaser(Interest-bearing Government Bonds),1,4,0,0,0,198104,200603,20171229
FM06,SMTPIB12,(更新停止）シンジケート団引受分担額/国内銀行/うち地方銀行(2006年3月まで）,(Discontinued)Syndicate Underwriting/Domestically Licensed Banks/Regional Banks (through March 2006),億円,100 million yen,MONTHLY,公社債消化状況 (利付国債),Trading of Interest-bearing Government Bonds by Purchaser(Interest-bearing Government Bonds),1,5,0,0,0,197901,200603,20171229
FM06,SMTPIB13,(更新停止）シンジケート団引受分担額/国内銀行/うち地方銀行II（ｂ）(2006年3月まで）,(Discontinued)Syndicate Underwriting/Domestically Licensed Banks/Regional Banks II(b) (through March 2006),億円,100 million yen,MONTHLY,公社債消化状況 (利付国債),Trading of Interest-bearing Government Bonds by Purchaser(Interest-bearing Government Bonds),1,6,0,0,0,197901,200603,20171229
FM06,SMTPIB14,(更新停止）シンジケート団引受分担額/国内銀行/うち信託銀行(2000年9月まで）,(Discontinued)Syndicate Underwriting/Domestically Licensed Banks/Trust Banks (through September 2000),億円,100 million yen,MONTHLY,公社債消化状況 (利付国債),Trading of Interest-bearing Government Bonds by Purchaser(Interest-bearing Government Bonds),1,7,0,0,0,197901,200009,20171229
FM06,SMTPIB15,(更新停止）シンジケート団引受分担額/信用金庫(2006年3月まで）,(Discontinued)Syndicate Underwriting/Shinkin Banks (through March 2006),億円,100 million yen,MONTHLY,公社債消化状況 (利付国債),Trading of Interest-bearing Government Bonds by Purchaser(Interest-bearing Government Bonds),1,8,0,0,0,197901,200603,20171229
FM06,SMTPIB16,(更新停止）シンジケート団引受分担額/農中・農協(2006年3月まで）,(Discontinued)Syndicate Underwriting/Norinchukin Bank and Agricultural Cooperatives (through March 2006),億円,100 million yen,MONTHLY,公社債消化状況 (利付国債),Trading of Interest-bearing Government Bonds by Purchaser(Interest-bearing Government Bonds),1,9,0,0,0,197901,200603,20171229
FM06,SMTPIB17,(更新停止）シンジケート団引受分担額/保険会社(2006年3月まで）,(Discontinued)Syndicate Underwriting/Insurance Companies (through March 2006),億円,100 million yen,MONTHLY,公社債消化状況 (利付国債),Trading of Interest-bearing Government Bonds by Purchaser(Interest-bearing Government Bonds),1,10,0,0,0,197901,200603,20171229
FM06,SMTPIB18,(更新停止）シンジケート団引受分担額/証券会社(2006年3月まで）,(Discontinued)Syndicate Underwriting/Securities Companies (through March 2006),億円,100 million yen,MONTHLY,公社債消化状況 (利付国債),Trading of Interest-bearing Government Bonds by Purchaser(Interest-bearing Government Bonds),1,11,0,0,0,198201,200603,20171229
FM06,SMTPIB10,(更新停止）シンジケート団引受分担額/その他（ｃ）(2006年3月まで）,(Discontinued)Syndicate Underwriting/Others(c) (through March 2006),億円,100 million yen,MONTHLY,公社債消化状況 (利付国債),Trading of Interest-bearing Government Bonds by Purchaser(Interest-bearing Government Bonds),1,12,0,0,0,198404,200603,20171229
FM06,SMTPIB19,(更新停止）シンジケート団引受分担額/募集取扱額(2004年1月まで),(Discontinued)Syndicate Underwriting/Sold to Others(Through January 2004),億円,100 million yen,MONTHLY,公社債消化状況 (利付国債),Trading of Interest-bearing Government Bonds by Purchaser(Interest-bearing Government Bonds),1,13,0,0,0,198201,200401,20171229
FM06,SMTPIB2,入札発行分等,Financial Institutions etc./Public Auction,億円,100 million yen,MONTHLY,公社債消化状況 (利付国債),Trading of Interest-bearing Government Bonds by Purchaser(Interest-bearing Government Bonds),1,14,0,0,0,198005,202601,20260209
FM06,SMTP@01,(更新停止）財政融資資金等(2008年3月まで）,(Discontinued)Fiscal Loan Fund and Others (through March 2008),億円,100 million yen,MONTHLY,公社債消化状況 (利付国債),Trading of Interest-bearing Government Bonds by Purchaser(Interest-bearing Government Bonds),1,15,0,0,0,198005,200803,20171229
