db,series_code,name_j,name_en,unit_j,unit_en,frequency,category_j,category_en,layer1,layer2,layer3,layer4,layer5,start_of_time_series,end_of_time_series,last_update
FM07,SMCSLB,(更新停止）長期利付国債（ａ）/窓口販売額,(Discontinued)Interest-bearing Long-term Government Bonds (a)/Sales over the counter,億円,100 million yen,MONTHLY,国債窓口販売額・窓口販売率,Government Bonds Sales Over the Counter/Counter Sales Ratio,1,1,0,0,0,199101,200401,20171229
FM07,SMCSLBR,(更新停止）長期利付国債（ａ）/窓口販売率,(Discontinued)Interest-bearing Long-term Government Bonds (a)/Counter Sales ratio,％,%,MONTHLY,国債窓口販売額・窓口販売率,Government Bonds Sales Over the Counter/Counter Sales Ratio,1,2,0,0,0,199101,200401,20171229
FM07,SMCSMB,(更新停止）中期利付国債（合計）/窓口販売額,(Discontinued)Interest-bearing Midium-term Government Bonds(Total)/Sales over the counter,億円,100 million yen,MONTHLY,国債窓口販売額・窓口販売率,Government Bonds Sales Over the Counter/Counter Sales Ratio,1,3,0,0,0,199101,200401,20171229
FM07,SMCSMBR,(更新停止）中期利付国債（合計）/窓口販売率,(Discontinued)Interest-bearing Midium-term Government Bonds(Total)/Counter Sales ratio,％,%,MONTHLY,国債窓口販売額・窓口販売率,Government Bonds Sales Over the Counter/Counter Sales Ratio,1,4,0,0,0,199101,200401,20171229
FM07,SMCSMB2,(更新停止）_利付国債（２年）/窓口販売額,(Discontinued)_Interest-bearing Government Bonds(2 Years)/Sales over the counter,億円,100 million yen,MONTHLY,国債窓口販売額・窓口販売率,Government Bonds Sales Over the Counter/Counter Sales Ratio,1,5,0,0,0,199101,200401,20171229
FM07,SMCSMB2R,(更新停止）_利付国債（２年）/窓口販売率,(Discontinued)_Interest-bearing Government Bonds(2 Years)/Counter Sales ratio,％,%,MONTHLY,国債窓口販売額・窓口販売率,Government Bonds Sales Over the Counter/Counter Sales Ratio,1,6,0,0,0,199101,200401,20171229
FM07,SMCSMB3,(更新停止）_利付国債（３年）/窓口販売額,(Discontinued)_Interest-bearing Government Bonds(3 Years)/Sales over the counter,億円,100 million yen,MONTHLY,国債窓口販売額・窓口販売率,Government Bonds Sales Over the Counter/Counter Sales Ratio,1,7,0,0,0,,,20171229
FM07,SMCSMB3R,(更新停止）_利付国債（３年）/窓口販売率,(Discontinued)_Interest-bearing Government Bonds(3 Years)/Counter Sales ratio,％,%,MONTHLY,国債窓口販売額・窓口販売率,Government Bonds Sales Over the Counter/Counter Sales Ratio,1,8,0,0,0,,,20171229
FM07,SMCSMB4,(更新停止）_利付国債（４年）/窓口販売額,(Discontinued)_Interest-bearing Government Bonds(4 Years)/Sales over the counter,億円,100 million yen,MONTHLY,国債窓口販売額・窓口販売率,Government Bonds Sales Over the Counter/Counter Sales Ratio,1,9,0,0,0,199311,200102,20171229
FM07,SMCSMB4R,(更新停止）_利付国債（４年）/窓口販売率,(Discontinued)_Interest-bearing Government Bonds(4 Years)/Counter Sales ratio,％,%,MONTHLY,国債窓口販売額・窓口販売率,Government Bonds Sales Over the Counter/Counter Sales Ratio,1,10,0,0,0,199311,200102,20171229
FM07,SMCSMB5,(更新停止）利付国債（５年）/窓口販売額,(Discontinued)_Interest-bearing Government Bonds(5 Years)/Sales over the counter,億円,100 million yen,MONTHLY,国債窓口販売額・窓口販売率,Government Bonds Sales Over the Counter/Counter Sales Ratio,1,11,0,0,0,200002,200401,20171229
FM07,SMCSMB5R,(更新停止）利付国債（５年）/窓口販売率,(Discontinued)_Interest-bearing Government Bonds(5 Years)/Counter Sales ratio,％,%,MONTHLY,国債窓口販売額・窓口販売率,Government Bonds Sales Over the Counter/Counter Sales Ratio,1,12,0,0,0,200002,200401,20171229
FM07,SMCSDB,(更新停止）割引国債（合計）/窓口販売額,(Discontinued)Discount Government Bonds(Total)/Sales over the counter,億円,100 million yen,MONTHLY,国債窓口販売額・窓口販売率,Government Bonds Sales Over the Counter/Counter Sales Ratio,1,13,0,0,0,199101,200211,20171229
FM07,SMCSDBR,(更新停止）割引国債（合計）/窓口販売率,(Discontinued)Discount Government Bonds(Total)/Counter Sales ratio,％,%,MONTHLY,国債窓口販売額・窓口販売率,Government Bonds Sales Over the Counter/Counter Sales Ratio,1,14,0,0,0,199101,200211,20171229
FM07,SMCSDB3,(更新停止）_割引国債（３年）/窓口販売額,(Discontinued)_Discount Government Bonds(3 Years)/Sales over the counter,億円,100 million yen,MONTHLY,国債窓口販売額・窓口販売率,Government Bonds Sales Over the Counter/Counter Sales Ratio,1,15,0,0,0,200011,200211,20171229
FM07,SMCSDB3R,(更新停止）_割引国債（３年）/窓口販売率,(Discontinued)_Discount Government Bonds(3 Years)/Counter Sales ratio,％,%,MONTHLY,国債窓口販売額・窓口販売率,Government Bonds Sales Over the Counter/Counter Sales Ratio,1,16,0,0,0,200011,200211,20171229
FM07,SMCSDB5,(更新停止）_割引国債（５年）/窓口販売額,(Discontinued)_Discount Government Bonds(5 Years)/Sales over the counter,億円,100 million yen,MONTHLY,国債窓口販売額・窓口販売率,Government Bonds Sales Over the Counter/Counter Sales Ratio,1,17,0,0,0,199101,200009,20171229
FM07,SMCSDB5R,(更新停止）_割引国債（５年）/窓口販売率,(Discontinued)_Discount Government Bonds(5 Years)/Counter Sales ratio,％,%,MONTHLY,国債窓口販売額・窓口販売率,Government Bonds Sales Over the Counter/Counter Sales Ratio,1,18,0,0,0,199101,200009,20171229
