db,series_code,name_j,name_en,unit_j,unit_en,frequency,category_j,category_en,layer1,layer2,layer3,layer4,layer5,start_of_time_series,end_of_time_series,last_update
MD10,DLDDLKY45090_DLDD3DBTTL,合計／預金合計／預金者合計／国内銀行,Total Value/Total Value/Total of All Depositors/Domestically Licensed Banks,億円,100 million yen,QUARTERLY,預金者別預金（半期）,Amounts Outstanding of Deposits by Depositor (End of Period) (FH data),1,1,1,0,0,197001,202503,20251112
MD10,DLDDLKY45090_DLDD3DBTTL1,合計／要求払預金／預金者合計／国内銀行,Total Value/Demand Deposits/Total of All Depositors/Domestically Licensed Banks,億円,100 million yen,QUARTERLY,預金者別預金（半期）,Amounts Outstanding of Deposits by Depositor (End of Period) (FH data),1,1,2,0,0,197001,202503,20251112
MD10,DLDDLKY45090_DLDD3DBTTL2,合計／＿当座預金／預金者合計／国内銀行,Total Value/_Current Deposits/Total of All Depositors/Domestically Licensed Banks,億円,100 million yen,QUARTERLY,預金者別預金（半期）,Amounts Outstanding of Deposits by Depositor (End of Period) (FH data),1,1,3,0,0,200002,202503,20251112
MD10,DLDDLKY45090_DLDD3DBTTL3,合計／＿普通預金／預金者合計／国内銀行,Total Value/_Ordinary Deposits/Total of All Depositors/Domestically Licensed Banks,億円,100 million yen,QUARTERLY,預金者別預金（半期）,Amounts Outstanding of Deposits by Depositor (End of Period) (FH data),1,1,4,0,0,200002,202503,20251112
MD10,DLDDLKY45090_DLDD3DBTTL4,合計／＿貯蓄預金／預金者合計／国内銀行,Total Value/_Saving Deposits/Total of All Depositors/Domestically Licensed Banks,億円,100 million yen,QUARTERLY,預金者別預金（半期）,Amounts Outstanding of Deposits by Depositor (End of Period) (FH data),1,1,5,0,0,200002,202503,20251112
MD10,DLDDLKY45090_DLDD3DBTTL5,合計／＿通知預金／預金者合計／国内銀行,Total Value/_Deposits at Notice/Total of All Depositors/Domestically Licensed Banks,億円,100 million yen,QUARTERLY,預金者別預金（半期）,Amounts Outstanding of Deposits by Depositor (End of Period) (FH data),1,1,6,0,0,200002,202503,20251112
MD10,DLDDLKY45090_DLDD3DBTTL6,合計／＿別段預金・納税準備預金／預金者合計／国内銀行,Total Value/_Special Deposits and Deposits for Tax Payments/Total of All Depositors/Domestically Licensed Banks,億円,100 million yen,QUARTERLY,預金者別預金（半期）,Amounts Outstanding of Deposits by Depositor (End of Period) (FH data),1,1,7,0,0,200002,202503,20251112
MD10,DLDDLKY45090_DLDD3DBTTL7,合計／定期性預金／預金者合計／国内銀行,Total Value/Time and Savings Deposits/Total of All Depositors/Domestically Licensed Banks,億円,100 million yen,QUARTERLY,預金者別預金（半期）,Amounts Outstanding of Deposits by Depositor (End of Period) (FH data),1,1,8,0,0,197001,202503,20251112
MD10,DLDDLKY45090_DLDD3DBTTL8,合計／＿定期預金・据置貯金／預金者合計／国内銀行,Total Value/_Time Deposits and Fixed Savings/Total of All Depositors/Domestically Licensed Banks,億円,100 million yen,QUARTERLY,預金者別預金（半期）,Amounts Outstanding of Deposits by Depositor (End of Period) (FH data),1,1,9,0,0,200002,202503,20251112
MD10,DLDDLKY45090_DLDD3DBTTL9,合計／＿定期積金／預金者合計／国内銀行,Total Value/_Installment Savings/Total of All Depositors/Domestically Licensed Banks,億円,100 million yen,QUARTERLY,預金者別預金（半期）,Amounts Outstanding of Deposits by Depositor (End of Period) (FH data),1,1,10,0,0,200002,202503,20251112
MD10,DLDDLKY45090_DLDD3DBTTL11,合計／非居住者円預金／預金者合計／国内銀行,Total Value/Non-resident Yen Deposits/Total of All Depositors/Domestically Licensed Banks,億円,100 million yen,QUARTERLY,預金者別預金（半期）,Amounts Outstanding of Deposits by Depositor (End of Period) (FH data),1,1,11,0,0,199802,202503,20251112
MD10,DLDDLKY45090_DLDD3DBTTL12,合計／外貨預金／預金者合計／国内銀行,Total Value/Foreign Currency Deposits/Total of All Depositors/Domestically Licensed Banks,億円,100 million yen,QUARTERLY,預金者別預金（半期）,Amounts Outstanding of Deposits by Depositor (End of Period) (FH data),1,1,12,0,0,199802,202503,20251112
MD10,DLDDLKY45590_DLDD3DBTTLTQ,合計／預金合計口数／預金者合計／国内銀行,Total Number of Accounts/Total Number of Accounts/Total of All Depositors/Domestically Licensed Banks,百口,100 cases,QUARTERLY,預金者別預金（半期）,Amounts Outstanding of Deposits by Depositor (End of Period) (FH data),1,1,13,0,0,200003,202503,20251112
MD10,DLDDLKY45590_DLDD3DBTTL1Q,合計／要求払預金口数／預金者合計／国内銀行,Total Number of Accounts/Demand Deposits/Total of All Depositors/Domestically Licensed Banks,百口,100 cases,QUARTERLY,預金者別預金（半期）,Amounts Outstanding of Deposits by Depositor (End of Period) (FH data),1,1,14,0,0,200003,202503,20251112
MD10,DLDDLKY45590_DLDD3DBTTL2Q,合計／＿当座預金口数／預金者合計／国内銀行,Total Number of Accounts/_Current Deposits/Total of All Depositors/Domestically Licensed Banks,百口,100 cases,QUARTERLY,預金者別預金（半期）,Amounts Outstanding of Deposits by Depositor (End of Period) (FH data),1,1,15,0,0,200003,202503,20251112
MD10,DLDDLKY45590_DLDD3DBTTL3Q,合計／＿普通預金口数／預金者合計／国内銀行,Total Number of Accounts/_Ordinary Deposits/Total of All Depositors/Domestically Licensed Banks,百口,100 cases,QUARTERLY,預金者別預金（半期）,Amounts Outstanding of Deposits by Depositor (End of Period) (FH data),1,1,16,0,0,200003,202503,20251112
MD10,DLDDLKY45590_DLDD3DBTTL4Q,合計／＿貯蓄預金口数／預金者合計／国内銀行,Total Number of Accounts/_Saving Deposits/Total of All Depositors/Domestically Licensed Banks,百口,100 cases,QUARTERLY,預金者別預金（半期）,Amounts Outstanding of Deposits by Depositor (End of Period) (FH data),1,1,17,0,0,200003,202503,20251112
MD10,DLDDLKY45590_DLDD3DBTTL5Q,合計／＿通知預金口数／預金者合計／国内銀行,Total Number of Accounts/_Deposits at Notice/Total of All Depositors/Domestically Licensed Banks,百口,100 cases,QUARTERLY,預金者別預金（半期）,Amounts Outstanding of Deposits by Depositor (End of Period) (FH data),1,1,18,0,0,200003,202503,20251112
MD10,DLDDLKY45590_DLDD3DBTTL6Q,合計／＿別段預金・納税準備預金口数／預金者合計／国内銀行,Total Number of Accounts/_Special Deposits and Deposits for Tax Payments/Total of All Depositors/Domestically Licensed Banks,百口,100 cases,QUARTERLY,預金者別預金（半期）,Amounts Outstanding of Deposits by Depositor (End of Period) (FH data),1,1,19,0,0,200003,202503,20251112
MD10,DLDDLKY45590_DLDD3DBTTL7Q,合計／定期性預金口数／預金者合計／国内銀行,Total Number of Accounts/Time and Savings Deposits/Total of All Depositors/Domestically Licensed Banks,百口,100 cases,QUARTERLY,預金者別預金（半期）,Amounts Outstanding of Deposits by Depositor (End of Period) (FH data),1,1,20,0,0,200003,202503,20251112
MD10,DLDDLKY45590_DLDD3DBTTL8Q,合計／＿定期預金・据置貯金口数／預金者合計／国内銀行,Total Number of Accounts/_Time Deposits and Fixed Savings/Total of All Depositors/Domestically Licensed Banks,百口,100 cases,QUARTERLY,預金者別預金（半期）,Amounts Outstanding of Deposits by Depositor (End of Period) (FH data),1,1,21,0,0,200003,202503,20251112
MD10,DLDDLKY45590_DLDD3DBTTL9Q,合計／＿定期積金口数／預金者合計／国内銀行,Total Number of Accounts/_Installment Savings/Total of All Depositors/Domestically Licensed Banks,百口,100 cases,QUARTERLY,預金者別預金（半期）,Amounts Outstanding of Deposits by Depositor (End of Period) (FH data),1,1,22,0,0,200003,202503,20251112
MD10,DLDDLKY45590_DLDD3DBTTL11Q,合計／非居住者円預金口数／預金者合計／国内銀行,Total Number of Accounts/Non-resident Yen Deposits/Total of All Depositors/Domestically Licensed Banks,百口,100 cases,QUARTERLY,預金者別預金（半期）,Amounts Outstanding of Deposits by Depositor (End of Period) (FH data),1,1,23,0,0,200003,202503,20251112
MD10,DLDDLKY45590_DLDD3DBTTL12Q,合計／外貨預金口数／預金者合計／国内銀行,Total Number of Accounts/Foreign Currency Deposits/Total of All Depositors/Domestically Licensed Banks,百口,100 cases,QUARTERLY,預金者別預金（半期）,Amounts Outstanding of Deposits by Depositor (End of Period) (FH data),1,1,24,0,0,200003,202503,20251112
MD10,DLDDLKY42190_DLDD3DBT01,３百万円未満／預金合計／預金者合計／国内銀行,Less than 3 Million Yen/Total Value/Total of All Depositors/Domestically Licensed Banks,億円,100 million yen,QUARTERLY,預金者別預金（半期）,Amounts Outstanding of Deposits by Depositor (End of Period) (FH data),1,1,25,0,0,200003,202503,20251112
MD10,DLDDLKY42190_DLDD3DBT011,３百万円未満／要求払預金／預金者合計／国内銀行,Less than 3 Million Yen/Demand Deposits/Total of All Depositors/Domestically Licensed Banks,億円,100 million yen,QUARTERLY,預金者別預金（半期）,Amounts Outstanding of Deposits by Depositor (End of Period) (FH data),1,1,26,0,0,200003,202503,20251112
MD10,DLDDLKY42190_DLDD3DBT012,３百万円未満／＿当座預金／預金者合計／国内銀行,Less than 3 Million Yen/_Current Deposits/Total of All Depositors/Domestically Licensed Banks,億円,100 million yen,QUARTERLY,預金者別預金（半期）,Amounts Outstanding of Deposits by Depositor (End of Period) (FH data),1,1,27,0,0,200003,202503,20251112
MD10,DLDDLKY42190_DLDD3DBT013,３百万円未満／＿普通預金／預金者合計／国内銀行,Less than 3 Million Yen/_Ordinary Deposits/Total of All Depositors/Domestically Licensed Banks,億円,100 million yen,QUARTERLY,預金者別預金（半期）,Amounts Outstanding of Deposits by Depositor (End of Period) (FH data),1,1,28,0,0,200003,202503,20251112
MD10,DLDDLKY42190_DLDD3DB3014,３百万円未満／＿貯蓄預金／預金者合計／国内銀行,Less than 3 Million Yen/_Saving Deposits/Total of All Depositors/Domestically Licensed Banks,億円,100 million yen,QUARTERLY,預金者別預金（半期）,Amounts Outstanding of Deposits by Depositor (End of Period) (FH data),1,1,29,0,0,200003,202503,20251112
MD10,DLDDLKY42190_DLDD3DBT015,３百万円未満／＿通知預金／預金者合計／国内銀行,Less than 3 Million Yen/_Deposits at Notice/Total of All Depositors/Domestically Licensed Banks,億円,100 million yen,QUARTERLY,預金者別預金（半期）,Amounts Outstanding of Deposits by Depositor (End of Period) (FH data),1,1,30,0,0,200003,202503,20251112
MD10,DLDDLKY42190_DLDD3DBT016,３百万円未満／＿別段預金・納税準備預金／預金者合計／国内銀行,Less than 3 Million Yen/_Special Deposits and Deposits for Tax Payments/Total of All Depositors/Domestically Licensed Banks,億円,100 million yen,QUARTERLY,預金者別預金（半期）,Amounts Outstanding of Deposits by Depositor (End of Period) (FH data),1,1,31,0,0,200003,202503,20251112
MD10,DLDDLKY42190_DLDD3DBT017,３百万円未満／定期性預金／預金者合計／国内銀行,Less than 3 Million Yen/Time and Savings Deposits/Total of All Depositors/Domestically Licensed Banks,億円,100 million yen,QUARTERLY,預金者別預金（半期）,Amounts Outstanding of Deposits by Depositor (End of Period) (FH data),1,1,32,0,0,200003,202503,20251112
MD10,DLDDLKY42190_DLDD3DBT018,３百万円未満／＿定期預金・据置貯金／預金者合計／国内銀行,Less than 3 Million Yen/_Time Deposits and Fixed Savings/Total of All Depositors/Domestically Licensed Banks,億円,100 million yen,QUARTERLY,預金者別預金（半期）,Amounts Outstanding of Deposits by Depositor (End of Period) (FH data),1,1,33,0,0,200003,202503,20251112
MD10,DLDDLKY42190_DLDD3DBT019,３百万円未満／＿定期積金／預金者合計／国内銀行,Less than 3 Million Yen/_Installment Savings/Total of All Depositors/Domestically Licensed Banks,億円,100 million yen,QUARTERLY,預金者別預金（半期）,Amounts Outstanding of Deposits by Depositor (End of Period) (FH data),1,1,34,0,0,200003,202503,20251112
