db,series_code,name_j,name_en,unit_j,unit_en,frequency,category_j,category_en,layer1,layer2,layer3,layer4,layer5,start_of_time_series,end_of_time_series,last_update
LA02,MABCLE@01,日本銀行貸出／合計,Loans and Discounts by the Bank of Japan/Total,億円,100 million yen,MONTHLY,日本銀行貸出,Loans and Discounts by the Bank of Japan,1,1,0,0,0,195301,202601,20260210
LA02,MABCLEDB,日本銀行貸出／国内銀行（ａ）,Loans and Discounts by the Bank of Japan/Domestically Licensed Banks(a),億円,100 million yen,MONTHLY,日本銀行貸出,Loans and Discounts by the Bank of Japan,1,2,0,0,0,199310,202601,20260210
LA02,MABCLECB,日本銀行貸出／都市銀行,Loans and Discounts by the Bank of Japan/City Banks,億円,100 million yen,MONTHLY,日本銀行貸出,Loans and Discounts by the Bank of Japan,1,3,0,0,0,198001,202601,20260210
LA02,MABCLERB,日本銀行貸出／地方銀行,Loans and Discounts by the Bank of Japan/Regional Banks,億円,100 million yen,MONTHLY,日本銀行貸出,Loans and Discounts by the Bank of Japan,1,4,0,0,0,198001,202601,20260210
LA02,MABCLEMB,日本銀行貸出／地方銀行II,Loans and Discounts by the Bank of Japan/Regional Banks II,億円,100 million yen,MONTHLY,日本銀行貸出,Loans and Discounts by the Bank of Japan,1,5,0,0,0,198805,202601,20260210
LA02,MABCLEDT,（更新停止）日本銀行貸出／信託銀行（2000年9月まで）,(Discontinued) Loans and Discounts by the Bank of Japan/Trust Banks(through September 2000),億円,100 million yen,MONTHLY,日本銀行貸出,Loans and Discounts by the Bank of Japan,1,6,0,0,0,199310,199909,20171229
LA02,MABCLELB,（更新停止）日本銀行貸出／長期信用銀行（2000年9月まで）,(Discontinued) Loans and Discounts by the Bank of Japan/Long-term Credit Banks(through September 2000),億円,100 million yen,MONTHLY,日本銀行貸出,Loans and Discounts by the Bank of Japan,1,7,0,0,0,198001,200009,20171229
LA02,MABCLEOT,日本銀行貸出／その他（ｂ）,Loans and Discounts by the Bank of Japan/Others Financial Institutions(b),億円,100 million yen,MONTHLY,日本銀行貸出,Loans and Discounts by the Bank of Japan,1,8,0,0,0,197101,202601,20260210
