db,series_code,name_j,name_en,unit_j,unit_en,frequency,category_j,category_en,layer1,layer2,layer3,layer4,layer5,start_of_time_series,end_of_time_series,last_update
OB01,MA03021S0001,ストック表／政府短期証券引受残高（ａ）,Stock Table/Underwriting of FBs (a),億円,100 million yen,MONTHLY,日本銀行の対政府取引,BOJ's Transactions with the Government,1,1,0,0,0,200404,202601,20260206
OB01,MA03021S0002,ストック表／割引短期国債借換引受残高（ｂ）,Stock Table/Underwriting of TBs (b),億円,100 million yen,MONTHLY,日本銀行の対政府取引,BOJ's Transactions with the Government,1,2,0,0,0,200404,202601,20260206
OB01,MA03021S0003,ストック表／対国債整理基金政府短期証券買入残高（ｃ）,Stock Table/Outright Purchases of FBs from the Government Debt Consolidation Fund (c),億円,100 million yen,MONTHLY,日本銀行の対政府取引,BOJ's Transactions with the Government,1,3,0,0,0,200404,202601,20260206
OB01,MA03021S0004,ストック表／対財政融資資金政府短期証券買入残高（ｄ）,Stock Table/Outright Purchases of FBs from the Fiscal Loan Fund (d),億円,100 million yen,MONTHLY,日本銀行の対政府取引,BOJ's Transactions with the Government,1,4,0,0,0,200404,202601,20260206
OB01,MA03021S0011,ストック表／対国債整理基金政府短期証券・割引短期国債売却残高（ｅ）,Stock Table/Outright sales of FBs and TBs to the Government Debt Consolidation Fund (e),億円,100 million yen,MONTHLY,日本銀行の対政府取引,BOJ's Transactions with the Government,1,5,0,0,0,200902,202601,20260206
OB01,MA03021S0012,ストック表／対財政融資資金政府短期証券・割引短期国債売却残高（ｆ）,Stock Table/Outright sales of FBs and TBs to the Fiscal Loan Fund (f),億円,100 million yen,MONTHLY,日本銀行の対政府取引,BOJ's Transactions with the Government,1,6,0,0,0,200902,202601,20260206
OB01,MA03021S0005,（更新停止）ストック表／対国債整理基金政府短期証券売却残高（2009年1月まで）（ｇ）,(Discontinued) Stock Table/Outright Sales of FBs to the Government Debt Consolidation Fund(through January 2009) (g),億円,100 million yen,MONTHLY,日本銀行の対政府取引,BOJ's Transactions with the Government,1,7,0,0,0,200404,200901,20171229
OB01,MA03021S0006,（更新停止）ストック表／対財政融資資金政府短期証券売却残高（2009年1月まで）（ｈ）,(Discontinued) Stock Table/Outright Sales of FBs to the Fiscal Loan Fund(through January 2009) (h),億円,100 million yen,MONTHLY,日本銀行の対政府取引,BOJ's Transactions with the Government,1,8,0,0,0,200404,200901,20171229
OB01,MA03021S0007,（更新停止）ストック表／対国債整理基金割引短期国債売却残高（2009年1月まで）（ｉ）,(Discontinued) Stock Table/Outright Sales of TBs to the Government Debt Consolidation Fund(through January 2009) (i),億円,100 million yen,MONTHLY,日本銀行の対政府取引,BOJ's Transactions with the Government,1,9,0,0,0,200404,200901,20171229
OB01,MA03021S0008,（更新停止）ストック表／対財政融資資金割引短期国債売却残高（2009年1月まで）（ｊ）,(Discontinued) Stock Table/Outright Sales of TBs to the Fiscal Loan Fund(through January 2009) (j),億円,100 million yen,MONTHLY,日本銀行の対政府取引,BOJ's Transactions with the Government,1,10,0,0,0,200404,200901,20171229
