db,series_code,name_j,name_en,unit_j,unit_en,frequency,category_j,category_en,layer1,layer2,layer3,layer4,layer5,start_of_time_series,end_of_time_series,last_update
FM04,STTECLCTS101,都銀等(c)/有担保コール/末残/出し手,"City Banks,etc.(c), Collateralized Call/Outstanding at End of Month by Lender",億円,100 million yen,MONTHLY,コール市場残高/末残高,Amounts Outstanding in the Call Money Market/Outstanding at End of Month,1,1,1,1,0,201604,202601,20260209
FM04,STTECLCTS102,地銀/有担保コール/末残/出し手,"Regional Banks, Collateralized Call/Outstanding at End of Month by Lender",億円,100 million yen,MONTHLY,コール市場残高/末残高,Amounts Outstanding in the Call Money Market/Outstanding at End of Month,1,1,1,2,0,201604,202601,20260209
FM04,STTECLCTS103,地銀２(d)/有担保コール/末残/出し手,"Regional Banks II(d), Collateralized Call/Outstanding at End of Month by Lender",億円,100 million yen,MONTHLY,コール市場残高/末残高,Amounts Outstanding in the Call Money Market/Outstanding at End of Month,1,1,1,3,0,201604,202601,20260209
FM04,STTECLCTS104,外銀/有担保コール/末残/出し手,"Foreign Banks, Collateralized Call/Outstanding at End of Month by Lender",億円,100 million yen,MONTHLY,コール市場残高/末残高,Amounts Outstanding in the Call Money Market/Outstanding at End of Month,1,1,1,4,0,201604,202601,20260209
FM04,STTECLCTS105,信託/有担保コール/末残/出し手,"Trust Banks, Collateralized Call/Outstanding at End of Month by Lender",億円,100 million yen,MONTHLY,コール市場残高/末残高,Amounts Outstanding in the Call Money Market/Outstanding at End of Month,1,1,1,5,0,201604,202601,20260209
FM04,STTECLCTS106,信託うち投信/有担保コール/末残/出し手,"Trust Banks/Investment Trusts, Collateralized Call/Outstanding at End of Month by Lender",億円,100 million yen,MONTHLY,コール市場残高/末残高,Amounts Outstanding in the Call Money Market/Outstanding at End of Month,1,1,1,6,0,201604,202601,20260209
FM04,STTECLCTS107,信金中金・信金/有担保コール/末残/出し手,"Shinkin Central Bank and Shinkin Banks, Collateralized Call/Outstanding at End of Month by Lender",億円,100 million yen,MONTHLY,コール市場残高/末残高,Amounts Outstanding in the Call Money Market/Outstanding at End of Month,1,1,1,7,0,201604,202601,20260209
FM04,STTECLCTS108,農林系統/有担保コール/末残/出し手,"Financial Institutions for Agriculture and Forestries, Collateralized Call/Outstanding at End of Month by Lender",億円,100 million yen,MONTHLY,コール市場残高/末残高,Amounts Outstanding in the Call Money Market/Outstanding at End of Month,1,1,1,8,0,201604,202601,20260209
FM04,STTECLCTS109,証券・証金(e)/有担保コール/末残/出し手,"Securities and Securities Finance Companies(e), Collateralized Call/Outstanding at End of Month by Lender",億円,100 million yen,MONTHLY,コール市場残高/末残高,Amounts Outstanding in the Call Money Market/Outstanding at End of Month,1,1,1,9,0,201604,202601,20260209
FM04,STTECLCTS110,生損保/有担保コール/末残/出し手,"Life and Non-life Insurance Companies, Collateralized Call/Outstanding at End of Month by Lender",億円,100 million yen,MONTHLY,コール市場残高/末残高,Amounts Outstanding in the Call Money Market/Outstanding at End of Month,1,1,1,10,0,201604,202601,20260209
