db,series_code,name_j,name_en,unit_j,unit_en,frequency,category_j,category_en,layer1,layer2,layer3,layer4,layer5,start_of_time_series,end_of_time_series,last_update
MD07,MAREM3,法定準備預金額（平均残高）,Required Reserves(Average Outstanding),億円,100 million yen,MONTHLY,準備預金額,Reserves,1,1,0,0,0,195909,202511,20260126
MD07,MAREM1,準備預金額／平均残高（ａ）,Reserves/Average Outstanding(a),億円,100 million yen,MONTHLY,準備預金額,Reserves,1,2,0,0,0,195909,202511,20260126
MD07,MAREM2,準備預金額／末残高,Reserves/Outstanding at End of Period,億円,100 million yen,MONTHLY,準備預金額,Reserves,1,3,0,0,0,199201,202601,20260203
MD07,MAREM4,平均実効準備率（ｂ）％,Average Effective Reserve Requirement Ratio(b) %,％,%,MONTHLY,準備預金額,Reserves,1,4,0,0,0,198010,202511,20260126
MD07,MAREM5,平均実効準備率／預金債務（ｃ）％,Average Effective Reserve Requirement Ratio/Reserve Requirement Ratio on Deposit Liabilities(c) %,％,%,MONTHLY,準備預金額,Reserves,1,5,0,0,0,198010,202511,20260126
