db,series_code,name_j,name_en,unit_j,unit_en,frequency,category_j,category_en,layer1,layer2,layer3,layer4,layer5,start_of_time_series,end_of_time_series,last_update
FM01,STRDCLUCON,無担保コールＯ／Ｎ物レート／平均値 日次／金利,"Call Rate, Uncollateralized Overnight, Average (Daily)",年％,percent per annum,DAILY,コールレート,Call Rate,1,1,0,0,0,19980105,20260218,20260220
FM01,STRDCLUCONH,無担保コールＯ／Ｎ物レート／最高値 日次／金利,"Call Rate, Uncollateralized Overnight, Highest (Daily)",年％,percent per annum,DAILY,コールレート,Call Rate,1,2,0,0,0,20050101,20260218,20260220
FM01,STRDCLUCONL,無担保コールＯ／Ｎ物レート／最低値 日次／金利,"Call Rate, Uncollateralized Overnight, Lowest (Daily)",年％,percent per annum,DAILY,コールレート,Call Rate,1,3,0,0,0,20050101,20260218,20260220
FM01,STRDCLUCV,無担保コールＯ／Ｎ物出来高,Volumes of Uncollateralized Overnight Call Transactions,億円,100 million yen,DAILY,無担保コール出来高,Volumes of Uncollateralized Overnight Call Transactions,2,1,0,0,0,20170104,20260218,20260220
