db,series_code,name_j,name_en,unit_j,unit_en,frequency,category_j,category_en,layer1,layer2,layer3,layer4,layer5,start_of_time_series,end_of_time_series,last_update
FM02,STRECLCOON,有担保コールレート・翌日物(a)　月末／金利,"Call Rate, Collateralized Overnight (a)/End of Month",年％,percent per annum,MONTHLY,コールレート (月次),Call Rate (Monthly),1,1,0,0,0,196001,202601,20260204
FM02,STRACLCOON,有担保コールレート・翌日物(a)　月平均(b)／金利,"Call Rate, Collateralized Overnight (a)/Average(b)",年％,percent per annum,MONTHLY,コールレート (月次),Call Rate (Monthly),1,2,0,0,0,196001,202601,20260204
FM02,STRECLUCON,無担保コールレート・Ｏ／Ｎ　月末／金利,"Call Rate, Uncollateralized Overnight/End of Month",年％,percent per annum,MONTHLY,コールレート (月次),Call Rate (Monthly),1,3,0,0,0,198507,202601,20260204
FM02,STRACLUCON,無担保コールレート・Ｏ／Ｎ　月平均／金利,"Call Rate, Uncollateralized Overnight/Average",年％,percent per annum,MONTHLY,コールレート (月次),Call Rate (Monthly),1,4,0,0,0,198507,202601,20260204
FM02,STRECLUC1W,無担保コールレート・１Ｗ　月末／金利,"Call Rate, Uncollateralized 1 Week/End of Month",年％,percent per annum,MONTHLY,コールレート (月次),Call Rate (Monthly),1,5,0,0,0,198901,202601,20260204
FM02,STRACLUC1W,無担保コールレート・１Ｗ　月平均／金利,"Call Rate, Uncollateralized 1 Week/Average",年％,percent per annum,MONTHLY,コールレート (月次),Call Rate (Monthly),1,6,0,0,0,198901,202601,20260204
FM02,STRECLUC1M,無担保コールレート・１Ｍ　月末／金利,"Call Rate, Uncollateralized 1 Month/End of Month",年％,percent per annum,MONTHLY,コールレート (月次),Call Rate (Monthly),1,7,0,0,0,198901,202601,20260204
FM02,STRACLUC1M,無担保コールレート・１Ｍ　月平均／金利,"Call Rate, Uncollateralized 1 Month/Average",年％,percent per annum,MONTHLY,コールレート (月次),Call Rate (Monthly),1,8,0,0,0,198901,202601,20260204
FM02,STRECLUC2M,無担保コールレート・２Ｍ　月末／金利,"Call Rate, Uncollateralized 2 Months/End of Month",年％,percent per annum,MONTHLY,コールレート (月次),Call Rate (Monthly),1,9,0,0,0,198901,202601,20260204
FM02,STRACLUC2M,無担保コールレート・２Ｍ　月平均／金利,"Call Rate, Uncollateralized 2 Months/Average",年％,percent per annum,MONTHLY,コールレート (月次),Call Rate (Monthly),1,10,0,0,0,198901,202601,20260204
FM02,STRECLUC3M,無担保コールレート・３Ｍ　月末／金利,"Call Rate, Uncollateralized 3 Months/End of Month",年％,percent per annum,MONTHLY,コールレート (月次),Call Rate (Monthly),1,11,0,0,0,198901,202601,20260204
FM02,STRACLUC3M,無担保コールレート・３Ｍ　月平均／金利,"Call Rate, Uncollateralized 3 Months/Average",年％,percent per annum,MONTHLY,コールレート (月次),Call Rate (Monthly),1,12,0,0,0,198901,202601,20260204
FM02,STTRRD_T0,（更新停止）東京レポ・レート／翌日物(%)／T+0 日次（2012年10月26日まで）,(Discontinued)Tokyo Repo Rate/Overnight transaction(%)/T+0 (Daily) (through Oct.26.2012),年％,percent per annum,DAILY,東京レポ・レート (日次),Tokyo Repo Rate (Daily),2,1,0,0,0,20071029,20121026,20171229
FM02,STTRRD_T1,（更新停止）東京レポ・レート／翌日物(%)／T+1 日次（2012年10月26日まで）,(Discontinued)Tokyo Repo Rate/Overnight transaction(%)/T+1 (Daily) (through Oct.26.2012),年％,percent per annum,DAILY,東京レポ・レート (日次),Tokyo Repo Rate (Daily),2,2,0,0,0,20071029,20121026,20171229
FM02,STTRRD_SN,（更新停止）東京レポ・レート／翌日物(%)／S/N 日次（2012年4月20日まで）,(Discontinued)Tokyo Repo Rate/Overnight transaction(%)/S/N (Daily) (through Apr.20.2012),年％,percent per annum,DAILY,東京レポ・レート (日次),Tokyo Repo Rate (Daily),2,3,0,0,0,20071029,20120420,20171229
FM02,STTRRD_1W,"（更新停止）東京レポ・レート／ターム物（T+2, %）／１週間 日次（2012年10月26日まで）","(Discontinued)Tokyo Repo Rate/Term transaction(T+2,%)/1Week (Daily) (through Oct.26.2012)",年％,percent per annum,DAILY,東京レポ・レート (日次),Tokyo Repo Rate (Daily),2,4,0,0,0,20071029,20121026,20171229
FM02,STTRRD_2W,"（更新停止）東京レポ・レート／ターム物（T+2, %）／２週間 日次（2012年10月26日まで）","(Discontinued)Tokyo Repo Rate/Term transaction(T+2,%)/2Weeks (Daily) (through Oct.26.2012)",年％,percent per annum,DAILY,東京レポ・レート (日次),Tokyo Repo Rate (Daily),2,5,0,0,0,20071029,20121026,20171229
FM02,STTRRD_3W,"（更新停止）東京レポ・レート／ターム物（T+2, %）／３週間 日次（2012年10月26日まで）","(Discontinued)Tokyo Repo Rate/Term transaction(T+2,%)/3Weeks (Daily) (through Oct.26.2012)",年％,percent per annum,DAILY,東京レポ・レート (日次),Tokyo Repo Rate (Daily),2,6,0,0,0,20071029,20121026,20171229
FM02,STTRRD_1M,"（更新停止）東京レポ・レート／ターム物（T+2, %）／１ヶ月 日次（2012年10月26日まで）","(Discontinued)Tokyo Repo Rate/Term transaction(T+2,%)/1Month (Daily) (through Oct.26.2012)",年％,percent per annum,DAILY,東京レポ・レート (日次),Tokyo Repo Rate (Daily),2,7,0,0,0,20071029,20121026,20171229
FM02,STTRRD_3M,"（更新停止）東京レポ・レート／ターム物（T+2, %）／３ヶ月 日次（2012年10月26日まで）","(Discontinued)Tokyo Repo Rate/Term transaction(T+2,%)/3Months (Daily) (through Oct.26.2012)",年％,percent per annum,DAILY,東京レポ・レート (日次),Tokyo Repo Rate (Daily),2,8,0,0,0,20071029,20121026,20171229
FM02,STTRRD_6M,"（更新停止）東京レポ・レート／ターム物（T+2, %）／６ヶ月 日次（2012年10月26日まで）","(Discontinued)Tokyo Repo Rate/Term transaction(T+2,%)/6Months (Daily) (through Oct.26.2012)",年％,percent per annum,DAILY,東京レポ・レート (日次),Tokyo Repo Rate (Daily),2,9,0,0,0,20071029,20121026,20171229
FM02,STTRRD_1Y,"（更新停止）東京レポ・レート／ターム物（T+2, %）／１年 日次（2012年10月26日まで）","(Discontinued)Tokyo Repo Rate/Term transaction(T+2,%)/1Year (Daily) (through Oct.26.2012)",年％,percent per annum,DAILY,東京レポ・レート (日次),Tokyo Repo Rate (Daily),2,10,0,0,0,20071029,20121026,20171229
FM02,STRACP2W,（更新停止）国内コマーシャルペーパー発行平均金利/２週間（2009年10月まで）,(Discontinued)Average Yields on Newly Issued Domestic Commercial Paper/2 Weeks (through October 2009),年％,percent per annum,MONTHLY,国内コマーシャルペーパー発行平均金利,Average Yields on Newly Issued Domestic Commercial Paper,3,1,0,0,0,199409,200910,20171229
FM02,STRACP1M,（更新停止）国内コマーシャルペーパー発行平均金利/１か月（2009年10月まで）,(Discontinued)Average Yields on Newly Issued Domestic Commercial Paper/1 Month (through October 2009),年％,percent per annum,MONTHLY,国内コマーシャルペーパー発行平均金利,Average Yields on Newly Issued Domestic Commercial Paper,3,2,0,0,0,199409,200910,20171229
FM02,STRACP3M,（更新停止）国内コマーシャルペーパー発行平均金利/３か月（2009年10月まで）,(Discontinued)Average Yields on Newly Issued Domestic Commercial Paper/3 Months (through October 2009),年％,percent per annum,MONTHLY,国内コマーシャルペーパー発行平均金利,Average Yields on Newly Issued Domestic Commercial Paper,3,3,0,0,0,199409,200910,20171229
FM02,STRAK_STRACDN2DB,譲渡性預金平均金利（新規発行分）/総合,Average Interest Rates on Certificates of Deposit by Maturity (New Issues) /Total,年％,percent per annum,MONTHLY,譲渡性預金平均金利 (新規発行分),Average Interest Rates on Certificates of Deposit by Maturity (New Issues),4,1,0,0,0,199601,202512,20260204
FM02,STRAK_STRACDN2DB01,譲渡性預金平均金利（新規発行分）/３０日未満,Average Interest Rates on Certificates of Deposit by Maturity (New Issues) /Less than 30 Days,年％,percent per annum,MONTHLY,譲渡性預金平均金利 (新規発行分),Average Interest Rates on Certificates of Deposit by Maturity (New Issues),4,2,0,0,0,199601,202512,20260204
FM02,STRAK_STRACDN2DB02,譲渡性預金平均金利（新規発行分）/３０日以上６０日未満,Average Interest Rates on Certificates of Deposit by Maturity (New Issues) /30 Days to 59 Days,年％,percent per annum,MONTHLY,譲渡性預金平均金利 (新規発行分),Average Interest Rates on Certificates of Deposit by Maturity (New Issues),4,3,0,0,0,199601,202512,20260204
