db,series_code,name_j,name_en,unit_j,unit_en,frequency,category_j,category_en,layer1,layer2,layer3,layer4,layer5,start_of_time_series,end_of_time_series,last_update
MD04,MAMSK_MAMS4ENEM2C,（更新停止）マネーサプライ（Ｍ２＋ＣＤ）増減（−）額（末残）,(discontinued)Changes in Money Stock (M2+CDs) (Amounts Outstanding at End of Period),億円,100 million yen,MONTHLY,マネーサプライ,Money Stock (Former Series),1,1,0,0,0,199805,200312,20171229
MD04,MAMSK_MAMS4ENEF,（更新停止）対外資産／マネーサプライ（Ｍ２＋ＣＤ）増減（−）額（末残）,(discontinued)Foreign Assets/Changes in Money Stock (M2+CDs) (Amounts Outstanding at End of Period),億円,100 million yen,MONTHLY,マネーサプライ,Money Stock (Former Series),1,2,0,0,0,199805,200312,20171229
MD04,MAMSK_MAMS4ENED,（更新停止）国内信用／マネーサプライ（Ｍ２＋ＣＤ）増減（−）額（末残）,(discontinued)Domestic Credit/Changes in Money Stock (M2+CDs) (Amounts Outstanding at End of Period),億円,100 million yen,MONTHLY,マネーサプライ,Money Stock (Former Series),1,3,0,0,0,199805,200312,20171229
MD04,MAMSK_MAMS4ENEG,（更新停止）政府向け信用／国内信用／マネーサプライ（Ｍ２＋ＣＤ）増減（−）額（末残）,(discontinued)Claims on Government/Domestic Credit/Changes in Money Stock (M2+CDs) (Amounts Outstanding at End of Period),億円,100 million yen,MONTHLY,マネーサプライ,Money Stock (Former Series),1,4,0,0,0,199805,200312,20171229
MD04,MAMSK_MAMS4ENEG1,（更新停止）うち国債・ＦＢ／政府向け信用／国内信用／マネーサプライ（Ｍ２＋ＣＤ）増減（−）額（末残）,(discontinued)of which: Government Bonds/Claims on Government/Domestic Credit/Changes in Money Stock (M2+CDs) (Amounts Outstanding at End of Period),億円,100 million yen,MONTHLY,マネーサプライ,Money Stock (Former Series),1,5,0,0,0,199805,200312,20171229
MD04,MAMSK_MAMS4ENEL,（更新停止）地方公共団体向け信用／国内信用／マネーサプライ（Ｍ２＋ＣＤ）増減（−）額（末残）,(discontinued)Claims on Local Governments/Domestic Credit/Changes in Money Stock (M2+CDs) (Amounts Outstanding at End of Period),億円,100 million yen,MONTHLY,マネーサプライ,Money Stock (Former Series),1,6,0,0,0,199805,200312,20171229
MD04,MAMSK_MAMS4ENEL1,（更新停止）貸出／地方公共団体向け信用／国内信用／マネーサプライ（Ｍ２＋ＣＤ）増減（−）額（末残）,(discontinued)Lendings/Claims on Local Governments/Domestic Credit/Changes in Money Stock (M2+CDs) (Amounts Outstanding at End of Period),億円,100 million yen,MONTHLY,マネーサプライ,Money Stock (Former Series),1,7,0,0,0,199805,200312,20171229
MD04,MAMSK_MAMS4ENEL2,（更新停止）地方債／地方公共団体向け信用／国内信用／マネーサプライ（Ｍ２＋ＣＤ）増減（−）額（末残）,(discontinued)Local Government Bonds/Claims on Local Governments/Domestic Credit/Changes in Money Stock (M2+CDs) (Amounts Outstanding at End of Period),億円,100 million yen,MONTHLY,マネーサプライ,Money Stock (Former Series),1,8,0,0,0,199805,200312,20171229
MD04,MAMSK_MAMS4ENEC,（更新停止）公的法人向け信用／国内信用／マネーサプライ（Ｍ２＋ＣＤ）増減（−）額（末残）,(discontinued)Claims on Public Non-financial Corporations/Domestic Credit/Changes in Money Stock (M2+CDs) (Amounts Outstanding at End of Period),億円,100 million yen,MONTHLY,マネーサプライ,Money Stock (Former Series),1,9,0,0,0,199805,200312,20171229
MD04,MAMSK_MAMS4ENEP,（更新停止）民間向け信用／国内信用／マネーサプライ（Ｍ２＋ＣＤ）増減（−）額（末残）,(discontinued)Claims on Private Sector/Domestic Credit/Changes in Money Stock (M2+CDs) (Amounts Outstanding at End of Period),億円,100 million yen,MONTHLY,マネーサプライ,Money Stock (Former Series),1,10,0,0,0,199805,200312,20171229
MD04,MAMSK_MAMS4ENEP1,（更新停止）うち貸出／民間向け信用／国内信用／マネーサプライ（Ｍ２＋ＣＤ）増減（−）額（末残）,(discontinued)of which: Lendings/Claims on Private Sector/Domestic Credit/Changes in Money Stock (M2+CDs) (Amounts Outstanding at End of Period),億円,100 million yen,MONTHLY,マネーサプライ,Money Stock (Former Series),1,11,0,0,0,199805,200312,20171229
MD04,MAMSK_MAMS4ENEP2,（更新停止）うち事業債・株式／民間向け信用／国内信用／マネーサプライ（Ｍ２＋ＣＤ）増減（−）額（末残）,(discontinued)of which: Industrial Bonds and Stocks/Claims on Private Sector/Domestic Credit/Changes in Money Stock (M2+CDs) (Amounts Outstanding at End of Period),億円,100 million yen,MONTHLY,マネーサプライ,Money Stock (Former Series),1,12,0,0,0,199805,200312,20171229
MD04,MAMSK_MAMS4ENER,（更新停止）その他／マネーサプライ（Ｍ２＋ＣＤ）増減（−）額（末残）,(discontinued)Others/Changes in Money Stock (M2+CDs) (Amounts Outstanding at End of Period),億円,100 million yen,MONTHLY,マネーサプライ,Money Stock (Former Series),1,13,0,0,0,199805,200312,20171229
MD04,MAMSK_MAMS4ENER1,（更新停止）うち金融債増（−）減額／その他／マネーサプライ（Ｍ２＋ＣＤ）増減（−）額（末残）,(discontinued)of which: Bank Debentures Increase(-)or Decrease/Others/Changes in Money Stock (M2+CDs) (Amounts Outstanding at End of Period),億円,100 million yen,MONTHLY,マネーサプライ,Money Stock (Former Series),1,14,0,0,0,199805,200312,20171229
MD04,MAMSK_MAMS4ENER2,（更新停止）うち信託勘定借増（−）減額／その他／マネーサプライ（Ｍ２＋ＣＤ）増減（−）額（末残）,(discontinued)of which: Trust Accounts Credit Increase(-)or Decrease/Others/Changes in Money Stock (M2+CDs) (Amounts Outstanding at End of Period),億円,100 million yen,MONTHLY,マネーサプライ,Money Stock (Former Series),1,15,0,0,0,199805,200312,20171229
MD04,MAMSK_MAMS4ENER3,（更新停止）うち信託・投信等増減（−）額／その他／マネーサプライ（Ｍ２＋ＣＤ）増減（−）額（末残）,(discontinued)of which: Money Trusts and Investment Trusts Increase or Decrease(-)/Others/Changes in Money Stock (M2+CDs) (Amounts Outstanding at End of Period),億円,100 million yen,MONTHLY,マネーサプライ,Money Stock (Former Series),1,16,0,0,0,199805,200312,20171229
MD04,MAMSK_MAMS4ENER4,（更新停止）うち金融機関預金増（−）減額／その他／マネーサプライ（Ｍ２＋ＣＤ）増減（−）額（末残）,(discontinued)of which: Deposits with Financial Institutions Increase(-)or Decrease/Others/Changes in Money Stock (M2+CDs) (Amounts Outstanding at End of Period),億円,100 million yen,MONTHLY,マネーサプライ,Money Stock (Former Series),1,17,0,0,0,199805,200312,20171229
MD04,MAMSK_MAMS1ENM2C,（更新停止）マネーサプライ（Ｍ２＋ＣＤ）増減（−）額（末残）,(discontinued)Changes in Money Stock (M2+CDs) (Amounts Outstanding at End of Period),億円,100 million yen,MONTHLY,マネーサプライ,Money Stock (Former Series),2,1,0,0,0,197002,199903,20171229
MD04,MAMSK_MAMS2ENF,（更新停止）対外資産／マネーサプライ（Ｍ２＋ＣＤ）増減（−）額（末残）,(discontinued)Foreign Assets/Changes in Money Stock (M2+CDs) (Amounts Outstanding at End of Period),億円,100 million yen,MONTHLY,マネーサプライ,Money Stock (Former Series),2,2,0,0,0,197002,199903,20171229
